gene	SL-LOG1	SL-LOG2	SL-LOG3	SL-LOG4	SL-STAT1	SL-STAT2	SL-STAT3	SL-STAT4	SL-BPK275-1	SL-BPK275-2
LdBPK_160015200	163	457	237	370	933	611	714	795	235	252
LdBPK_160015300	586	2047	1005	1416	2861	2831	3193	3650	899	1166
LdBPK_160015400	23	27	17	13	30	10	16	17	19	25
LdBPK_160015600	315	910	433	623	1396	1086	1182	1560	368	481
LdBPK_160015700	305	910	428	619	1407	859	940	1172	328	368
LdBPK_160015800	216	599	272	417	702	522	648	760	195	238
LdBPK_160015900	117	377	142	254	627	395	503	551	55	99
LdBPK_160016000	158	449	183	277	674	612	492	583	301	377
LdBPK_160016100	358	1052	493	652	1899	1616	1519	1931	642	878
LdBPK_160016200	431	1538	793	914	2511	2275	2322	2728	434	506
LdBPK_160016300	56	202	90	149	358	375	418	424	44	65
LdBPK_160016400	1	2	1	2	6	7	7	8	10	3
LdBPK_160016500	161	461	213	337	1071	977	979	1110	99	150
LdBPK_160016600	219	582	269	425	522	322	302	350	127	139
LdBPK_160016800	340	977	483	786	1272	1080	1219	1194	341	281
LdBPK_160017000	402	1280	561	875	2210	1806	2441	2542	946	1163
LdBPK_160017100	8	22	7	19	64	41	41	61	18	17
LdBPK_160017200	291	919	329	551	1264	775	799	994	251	279
LdBPK_160017300	51	189	86	150	374	430	449	454	2125	2635
LdBPK_160017400	5402	18112	7073	11297	15923	15278	13031	14961	5794	5481
LdBPK_160017500	89	373	123	208	268	198	167	194	166	167
LdBPK_160017600	466	1370	759	1066	1202	1106	1352	1427	457	536
LdBPK_160017700	75	250	138	186	354	277	267	311	42	50
LdBPK_160017800	197	655	314	475	872	706	806	894	313	443
LdBPK_160017900	201	689	394	553	1006	961	1078	1197	278	312
LdBPK_160018000	383	1037	602	735	1262	889	929	1272	275	323
LdBPK_160018100	33	103	64	74	298	272	215	223	71	67
LdBPK_160018200	56	185	82	112	530	470	540	531	86	96
LdBPK_160018300	89	217	133	182	473	374	396	392	165	153
LdBPK_160018400	423	1323	570	966	1871	1525	1699	1829	1052	1059
LdBPK_160018500	66	187	108	194	279	251	199	254	91	62
LdBPK_160018600	70	217	112	154	283	316	281	362	96	85
LdBPK_160018700	88	318	137	249	411	332	386	438	142	127
LdBPK_160018800	25	62	38	60	108	93	114	130	47	47
LdBPK_160018900	31	198	82	134	216	190	210	216	71	110
LdBPK_160019000	229	777	471	657	1999	1717	1920	2200	612	707
LdBPK_160019100	232	579	375	541	1041	887	691	969	233	206
LdBPK_160019200	103	283	162	224	490	416	481	521	142	123
LdBPK_160019300	428	1508	758	987	1461	1160	1321	1622	551	618
LdBPK_160019400	103	381	174	253	307	280	243	259	88	81
LdBPK_160019500	16	71	38	36	107	116	106	112	34	18
LdBPK_160019600	267	780	392	493	1505	1523	1586	1874	489	660
LdBPK_160019700	107	337	149	229	765	758	665	706	174	230
LdBPK_160019800	45	121	49	89	200	132	157	155	45	36
LdBPK_160019900	288	800	366	512	1100	833	838	1019	296	320
LdBPK_160020000	1671	6074	2694	3859	2944	2393	2470	3073	903	1176
LdBPK_160020100	0	7	7	4	8	9	4	8	0	1
LdBPK_160020200	5	14	5	5	23	15	29	22	1	3
LdBPK_160020300	397	1180	550	810	1038	646	905	962	140	130
LdBPK_160020400	48	113	65	108	275	164	236	258	84	62
LdBPK_160020500	131	409	182	309	608	475	563	569	219	185
LdBPK_160020600	0	0	0	0	0	0	0	0	0	0
LdBPK_160020700	459	1201	536	978	1526	824	1185	1447	411	476
LdBPK_160020800	2353	7979	3575	5434	5354	4648	4799	5616	1486	1529
LdBPK_160020900	976	3372	1530	2116	5336	4879	5884	6577	1445	1688
LdBPK_160021000	186	525	277	489	612	623	638	683	178	176
LdBPK_160021100	121	367	194	245	420	376	360	405	209	248
LdBPK_160021200	38	105	32	88	179	158	162	197	52	36
LdBPK_160021300	295	930	381	635	1246	1142	1506	1399	167	210
LdBPK_160021400	494	1744	818	1152	1384	1356	1486	1634	357	397
LdBPK_160021500	85	236	92	144	201	166	221	287	77	88
LdBPK_160021600	60	190	68	154	211	186	237	246	23	27
LdBPK_160021700	34	92	41	51	151	116	104	120	25	28
LdBPK_160021800	15	76	23	40	128	111	135	135	26	22
LdBPK_160021900	188	574	277	458	788	608	636	724	219	240
LdBPK_160022000	274	973	445	701	1313	1461	1392	1364	297	342
LdBPK_160022100	407	1437	622	1022	1591	1466	1480	1717	571	718
LdBPK_160022200	81	261	97	179	230	139	181	177	58	71
LdBPK_160022300	250	850	334	610	910	908	875	1047	483	447
LdBPK_160022400	71	282	87	179	445	391	336	431	237	157
LdBPK_160022500	189	460	265	332	697	443	414	561	187	213
LdBPK_160022600	357	1164	514	779	1405	1276	1349	1560	439	444
LdBPK_160022700	452	1430	686	867	2337	2364	2354	2677	761	959
LdBPK_160022800	154	512	225	339	932	886	919	913	121	147
LdBPK_170005000	518	1719	737	1225	1668	1278	1403	1660	536	668
LdBPK_170005100	56	189	86	125	346	335	355	391	34	113
LdBPK_170005200	136	492	216	372	2731	2911	2873	2968	715	825
LdBPK_170005300	255	781	318	511	1096	1000	960	1191	244	353
LdBPK_170005400	49	148	86	118	367	374	458	445	78	65
LdBPK_170005500	68	193	49	105	119	123	150	175	84	88
LdBPK_170005600	129	602	235	413	550	482	603	631	109	132
LdBPK_170005700	6	16	3	9	13	21	28	24	6	8
LdBPK_170005800	156	519	248	338	450	438	456	524	100	93
LdBPK_170005900	0	0	0	0	0	0	0	0	0	0
LdBPK_170006000	0	0	0	0	0	0	0	0	0	0
LdBPK_170006100	0	0	0	0	0	0	0	0	0	0
LdBPK_170006200	0	0	0	0	0	0	0	0	0	0
LdBPK_170006300	0	0	0	0	0	0	0	0	0	0
LdBPK_170006400	0	0	0	0	0	0	0	0	0	0
LdBPK_170006500	0	0	0	0	0	0	0	0	0	0
LdBPK_170006600	0	0	0	0	0	0	0	0	0	0
LdBPK_170006700	0	0	0	0	0	0	0	0	0	0
LdBPK_170006800	0	1	0	0	0	0	0	0	0	0
LdBPK_170006900	0	0	0	0	0	0	0	0	0	0
LdBPK_170007000	0	0	0	0	0	0	0	0	0	0
LdBPK_170007100	0	0	0	0	0	0	0	0	0	0
LdBPK_170007200	0	0	0	0	0	0	0	0	0	0
LdBPK_170007300	0	0	0	0	0	0	0	0	0	0
LdBPK_170007400	0	0	0	0	0	0	0	0	0	0
LdBPK_170007600	0	0	0	0	0	0	0	0	0	0
LdBPK_170007700	0	0	0	0	0	0	0	0	0	0
LdBPK_170007800	0	0	0	0	0	0	0	0	0	0
LdBPK_170007900	12	34	9	6	30	28	29	24	1	0
LdBPK_170008000	0	0	0	0	0	0	0	0	0	0
LdBPK_170008100	132	477	195	273	379	477	506	473	124	152
LdBPK_170008200	759	2670	1259	2000	2427	1998	2100	2255	324	457
LdBPK_170008300	200	757	407	607	9548	7959	10059	11165	477	551
LdBPK_170008400	0	2	0	0	1	0	2	0	0	0
LdBPK_170008600	297	906	495	630	883	783	974	1021	304	355
LdBPK_170008700	44	108	47	79	152	168	125	184	48	38
LdBPK_170008800	31	92	35	63	114	101	133	174	51	60
LdBPK_170008900	204	793	337	481	834	657	657	794	210	263
LdBPK_170009000	62	157	103	141	189	229	306	231	121	133
LdBPK_170009100	204	637	276	428	792	745	809	899	319	328
LdBPK_170009200	67	208	91	155	230	181	196	222	48	53
LdBPK_170009300	228	662	354	509	872	620	694	795	325	298
LdBPK_170009400	288	925	434	672	2113	1894	2115	2384	89	147
LdBPK_170009500	354	1121	488	737	1309	1115	1164	1370	395	418
LdBPK_170009600	567	1932	866	1250	1275	1096	1228	1467	403	505
LdBPK_170009700	446	1643	749	1051	1887	1534	1634	2051	232	322
LdBPK_170009800	507	1831	934	1141	2068	2217	2621	2656	654	625
LdBPK_170009900	453	1726	704	1016	1103	923	901	1078	216	306
LdBPK_170010000	24	56	27	31	80	89	54	79	22	27
LdBPK_170010100	0	8	4	8	9	5	4	13	4	11
LdBPK_170010200	80	380	189	303	409	467	564	601	156	167
LdBPK_170010300	1	10	4	8	28	27	21	21	14	10
LdBPK_170010400	39	134	47	85	157	111	137	126	118	97
LdBPK_170010500	298	949	376	610	1514	1224	1712	1607	389	463
LdBPK_170010600	22	55	21	55	118	85	76	96	26	18
LdBPK_170010700	9	24	8	20	32	24	21	19	6	13
LdBPK_170010800	91	197	102	176	347	248	230	270	153	161
LdBPK_170010900	47	108	52	82	134	149	119	152	55	61
LdBPK_170011000	152	518	228	356	1248	1192	1369	1423	423	498
LdBPK_170011100	228	688	337	501	1027	926	1054	1214	263	258
LdBPK_170011200	425	1288	535	881	1455	1247	1392	1466	595	810
LdBPK_170011300	127	391	159	245	448	345	398	396	94	111
LdBPK_170011400	193	726	310	501	738	777	751	868	175	202
LdBPK_170011500	143	386	209	310	747	476	484	715	138	128
LdBPK_170011600	153	457	225	346	834	749	896	1071	230	315
LdBPK_170011700	6	17	5	11	19	10	18	27	16	35
LdBPK_170011800	453	1486	641	931	1606	1387	1621	2013	521	610
LdBPK_170011900	293	978	482	652	2233	1932	2307	2696	838	851
LdBPK_170012000	122	340	174	230	482	458	530	543	103	153
LdBPK_170012100	303	913	416	660	959	961	835	938	274	289
LdBPK_170012200	63	200	83	145	427	316	367	369	108	146
LdBPK_170012300	175	519	280	406	1274	1145	1216	1383	233	263
LdBPK_170012400	78	212	100	192	255	232	262	249	60	62
LdBPK_170012500	10	26	9	22	48	22	46	40	7	0
LdBPK_170012600	7	14	8	15	33	19	31	22	24	35
LdBPK_170012700	107	283	126	256	508	512	518	486	152	109
LdBPK_170012800	64	147	62	117	156	195	177	215	50	59
LdBPK_170012900	26	80	36	40	145	106	98	82	46	33
LdBPK_170013000	54	113	58	98	219	196	206	260	69	79
LdBPK_170013100	97	238	105	205	439	290	271	318	105	131
LdBPK_170013200	24	53	30	32	130	79	81	107	54	46
LdBPK_170013300	39	167	57	99	235	207	237	232	65	72
LdBPK_170013400	2	4	4	6	108	67	78	95	23	14
LdBPK_170013500	29	100	62	109	628	432	382	503	109	53
LdBPK_170013600	10	33	18	21	25	39	43	30	68	117
LdBPK_170013700	1915	6544	3280	4329	6401	6608	6447	6871	1373	1684
LdBPK_170013800	61	129	68	115	288	236	223	257	52	57
LdBPK_170013900	18	62	18	41	78	95	86	93	20	15
LdBPK_170014000	117	403	213	259	764	832	864	1012	260	344
LdBPK_170014100	4	14	4	13	17	11	16	18	13	10
LdBPK_170014200	14	41	24	48	90	73	91	86	22	20
LdBPK_170014300	78	182	92	146	363	332	424	452	84	102
LdBPK_170014700	121	379	159	209	366	255	299	340	91	124
LdBPK_170014800	38	118	56	69	99	84	102	92	232	275
LdBPK_170014900	149	494	220	292	537	490	586	683	151	222
LdBPK_170015000	4	25	17	9	47	56	45	41	8	10
LdBPK_170015100	123	391	195	278	1034	911	1280	1366	97	155
LdBPK_170015200	28	36	22	36	72	47	62	71	26	16
LdBPK_170015300	38	105	40	86	158	167	86	116	42	38
LdBPK_170015400	34	55	31	64	118	91	85	89	33	39
LdBPK_170015500	20	66	45	64	110	129	70	103	60	42
LdBPK_170015600	57	213	119	154	239	257	265	298	34	30
LdBPK_170015700	103	307	143	218	378	252	246	283	52	44
LdBPK_170015800	108	406	151	241	307	257	288	325	85	86
LdBPK_170015900	581	2105	1001	1352	2793	2647	2830	3276	368	437
LdBPK_170016000	34	62	36	52	77	72	78	107	15	20
LdBPK_170016100	123	331	147	236	530	466	538	511	213	207
LdBPK_170016200	256	797	450	560	1804	1513	1610	1973	380	383
LdBPK_170016300	29	57	34	32	69	55	75	93	22	31
LdBPK_170016400	9	43	15	22	32	22	36	30	18	29
LdBPK_170016500	14	42	11	22	61	38	44	31	65	50
LdBPK_170016600	185	512	191	359	468	328	319	381	91	49
LdBPK_170016700	1104	3883	1961	2544	3488	3251	3200	3866	364	406
LdBPK_170016800	187	759	290	417	750	627	649	702	84	80
LdBPK_170016900	3752	14450	7988	9284	14790	19391	18626	20348	1276	1480
LdBPK_170017000	41	153	66	82	215	212	194	223	146	198
LdBPK_170017100	72	239	82	161	166	109	150	171	137	96
LdBPK_170017200	46	111	30	93	175	78	75	115	53	75
LdBPK_170017300	212	587	300	485	1250	949	1362	1348	244	252
LdBPK_170017400	62	162	106	143	321	336	335	365	145	106
LdBPK_170017500	423	1305	610	848	1863	1568	1724	2210	207	348
LdBPK_170017600	103	315	214	283	706	683	751	775	255	249
LdBPK_170017700	213	711	412	514	662	668	627	696	137	156
LdBPK_170017800	11	32	13	44	57	39	29	53	0	5
LdBPK_170017900	91	306	171	272	594	611	579	714	216	294
LdBPK_170018000	33	104	34	56	122	89	82	88	17	26
LdBPK_170018100	145	409	170	313	725	726	632	700	831	952
LdBPK_170018200	322	990	476	704	2086	1738	1794	2218	310	375
LdBPK_170018300	9	47	20	36	102	69	110	77	27	29
LdBPK_170018400	124	380	201	259	436	348	309	414	84	96
LdBPK_170018500	51	158	93	153	225	330	328	243	66	52
LdBPK_170018600	172	595	249	368	912	734	868	1037	338	457
LdBPK_170018700	100	315	158	245	614	541	589	643	198	204
LdBPK_170018800	225	787	358	519	1251	1096	1142	1330	333	392
LdBPK_170018900	124	409	164	292	448	450	413	473	111	121
LdBPK_170019000	185	596	296	383	785	653	838	906	194	330
LdBPK_170019100	119	357	154	226	541	433	653	634	83	123
LdBPK_170019200	150	533	246	384	1206	1007	736	1048	240	263
LdBPK_170019300	78	239	99	160	202	187	137	227	89	91
LdBPK_170019400	36	103	48	74	185	115	103	158	34	14
LdBPK_170019500	60	141	72	105	221	119	182	171	67	88
LdBPK_170019600	10	20	3	14	32	20	20	36	13	34
LdBPK_170019700	95	307	168	241	401	393	432	477	173	169
LdBPK_170019800	149	476	212	276	525	427	533	546	189	240
LdBPK_170019900	19	57	12	33	58	55	41	47	56	20
LdBPK_170020000	14	53	30	34	97	89	90	111	32	25
LdBPK_170020100	147	486	218	396	1700	1273	1363	1616	854	1098
LdBPK_170020200	43	155	86	115	284	269	337	329	49	78
LdBPK_170020300	191	714	303	414	746	713	748	829	271	303
LdBPK_170020400	164	522	210	309	1052	890	996	1092	653	885
LdBPK_170020500	112	378	196	284	682	500	595	735	428	525
LdBPK_170020600	65	169	93	124	221	154	150	193	43	66
LdBPK_170020700	21	36	21	24	59	43	51	65	14	18
LdBPK_170020800	100	283	124	199	292	272	241	307	116	94
LdBPK_170020900	326	1006	468	714	1184	1261	1192	1359	354	410
LdBPK_170021000	662	1928	834	1424	1314	1035	769	993	201	179
LdBPK_170021100	599	1790	925	1391	1837	1305	1525	1795	638	691
LdBPK_170021200	47	135	46	88	163	119	150	147	49	71
LdBPK_170021300	16	30	14	19	42	24	21	29	9	11
LdBPK_170021500	1	1	3	2	2	1	1	3	0	0
LdBPK_170021600	8	37	10	20	41	22	31	21	13	14
LdBPK_170021700	66	188	101	103	238	289	259	313	55	85
LdBPK_170021800	31	63	30	56	82	46	61	66	32	29
LdBPK_170021900	107	323	127	255	300	240	238	296	111	105
LdBPK_170022000	56	145	73	147	339	285	260	279	83	78
LdBPK_170022100	32	79	35	54	135	96	83	112	57	47
LdBPK_170022200	116	368	186	282	528	441	462	575	90	107
LdBPK_170022300	36	107	53	80	190	163	152	181	48	47
LdBPK_170022400	423	1415	563	946	1219	1002	1042	1358	358	425
LdBPK_170022500	305	950	445	686	1102	958	1009	1152	503	515
LdBPK_170022600	103	338	133	198	596	617	746	641	229	218
LdBPK_170022700	37	104	39	53	139	87	108	138	20	29
LdBPK_170022800	34	115	47	99	234	236	258	264	68	87
LdBPK_170022900	62	174	93	206	317	268	214	263	128	103
LdBPK_170023000	27	107	29	61	165	140	198	189	40	36
LdBPK_170023100	194	658	306	468	1049	995	1124	1103	306	334
LdBPK_170023200	41	72	33	65	162	90	145	158	6	1
LdBPK_180005000	70	173	73	188	257	159	201	194	35	66
LdBPK_180005100	188	726	328	528	619	579	556	694	137	208
LdBPK_180005200	6	33	13	16	50	25	36	32	9	13
LdBPK_180005300	27	62	33	49	128	131	142	122	57	48
LdBPK_180005400	6	6	2	4	19	15	14	21	6	15
LdBPK_180005500	14	42	19	47	73	33	45	40	6	1
LdBPK_180005600	69	225	131	203	663	733	843	910	47	42
LdBPK_180005700	289	1035	528	693	1225	1150	1267	1417	458	593
LdBPK_180005800	317	969	371	671	753	538	617	613	205	283
LdBPK_180005900	24	66	23	51	129	64	83	78	17	26
LdBPK_180006000	91	327	154	276	722	526	468	716	290	324
LdBPK_180006100	18	44	18	35	16	25	21	30	5	10
LdBPK_180006200	44	126	62	73	253	175	170	199	76	48
LdBPK_180006300	197	697	362	484	853	831	901	873	324	339
LdBPK_180006400	60	154	70	137	288	129	159	198	43	43
LdBPK_180006500	48	248	94	126	326	462	411	314	47	84
LdBPK_180006600	393	1295	674	1025	1404	1333	1324	1327	265	344
LdBPK_180006700	140	585	246	425	732	749	986	807	171	201
LdBPK_180006800	652	2298	1217	1589	4103	3773	4387	4426	1227	1541
LdBPK_180006900	345	1086	523	643	1052	1022	959	1264	355	399
LdBPK_180007000	235	713	245	470	476	433	528	574	80	152
LdBPK_180007100	341	1115	515	838	1302	1211	1449	1543	592	720
LdBPK_180007200	82	331	122	238	360	327	339	339	121	89
LdBPK_180007300	8	11	9	9	45	32	29	22	9	9
LdBPK_180007400	13	35	13	21	72	42	40	54	22	32
LdBPK_180007500	271	975	426	715	1320	1193	1245	1339	270	282
LdBPK_180007600	627	1869	921	1339	2480	1934	1965	2590	506	664
LdBPK_180007700	199	587	293	496	672	507	591	637	255	282
LdBPK_180007800	95	261	157	197	440	427	453	440	102	151
LdBPK_180007900	1010	3546	1789	2205	3457	3162	3117	4008	1149	1495
LdBPK_180008000	63	152	57	134	240	167	136	157	43	34
LdBPK_180008100	4	20	3	16	49	15	24	27	13	12
LdBPK_180008200	55	122	49	92	218	153	184	190	51	46
LdBPK_180008300	37	94	51	92	314	248	202	279	60	42
LdBPK_180008400	14	56	20	31	104	72	63	99	20	10
LdBPK_180008500	61	148	62	142	159	95	124	112	31	47
LdBPK_180008600	99	348	175	242	537	372	466	474	249	236
LdBPK_180008700	65	167	96	156	263	215	235	329	59	76
LdBPK_180008800	134	436	172	283	665	677	718	743	220	263
LdBPK_180008900	222	763	400	552	654	888	787	860	192	188
LdBPK_180009000	189	680	367	471	943	1152	1102	1105	203	193
LdBPK_180009100	97	249	108	165	564	469	527	544	144	149
LdBPK_180009200	142	365	187	305	580	604	620	565	139	148
LdBPK_180009300	660	2362	1026	1432	2983	3015	3052	3356	723	894
LdBPK_180009400	121	391	134	258	1058	1186	1403	1274	325	357
LdBPK_180009500	11	34	8	28	29	17	35	24	14	7
LdBPK_180009600	215	618	234	459	704	434	376	461	142	125
LdBPK_180009700	52	139	66	130	119	149	117	126	39	34
LdBPK_180009800	100	316	108	223	349	358	312	372	121	93
LdBPK_180009900	56	242	120	204	240	250	309	330	85	81
LdBPK_180010000	1668	5713	2722	3658	5031	4174	5040	5960	1147	1354
LdBPK_180010100	91	238	108	226	486	400	493	507	127	118
LdBPK_180010200	147	456	252	361	778	650	563	790	80	80
LdBPK_180010300	41	157	47	95	145	115	132	149	26	42
LdBPK_180010400	40	130	56	97	114	80	104	93	26	26
LdBPK_180010500	55	118	36	112	109	44	60	71	35	35
LdBPK_180010600	56	184	75	125	219	133	184	187	34	46
LdBPK_180010700	20	52	15	31	76	37	33	39	17	27
LdBPK_180010800	859	3006	1520	1965	2349	2164	2445	2833	361	568
LdBPK_180010900	102	429	143	280	442	409	488	564	190	221
LdBPK_180011000	472	1589	756	993	2864	2934	3095	3803	953	1006
LdBPK_180011100	1155	3832	1575	2896	4557	4499	3624	4243	630	584
LdBPK_180011200	269	814	345	566	832	750	777	802	574	560
LdBPK_180011300	364	1264	485	881	1436	1211	1415	1491	512	592
LdBPK_180011400	1670	5243	3087	3953	6298	7132	5798	7054	1521	1500
LdBPK_180011500	166	643	249	382	611	612	661	648	189	149
LdBPK_180011600	87	401	132	286	418	379	390	518	80	132
LdBPK_180011700	206	605	297	422	819	723	797	938	195	247
LdBPK_180011800	107	267	92	213	282	225	257	296	118	119
LdBPK_180011900	91	246	104	145	269	248	245	253	43	39
LdBPK_180012000	583	2043	871	1338	2939	2437	2974	3583	521	738
LdBPK_180012100	500	1381	624	919	2270	2117	2180	2467	1744	1945
LdBPK_180012200	34	150	72	108	265	235	267	285	95	96
LdBPK_180012300	61	194	61	141	269	238	260	260	61	36
LdBPK_180012400	19	62	28	48	51	34	56	53	10	25
LdBPK_180012500	497	1639	655	1042	1701	1471	1643	1750	342	344
LdBPK_180012600	13	59	27	51	119	72	70	95	36	23
LdBPK_180012700	26	69	21	58	115	87	99	114	64	77
LdBPK_180012800	48	103	75	97	264	212	267	265	83	126
LdBPK_180012900	181	629	241	426	831	758	663	857	217	258
LdBPK_180013000	5	32	9	22	62	31	49	63	14	17
LdBPK_180013100	111	350	139	258	506	390	350	404	106	162
LdBPK_180013200	1032	3711	1521	2385	1865	1688	1781	1990	625	793
LdBPK_180013300	224	663	297	500	807	608	651	780	177	227
LdBPK_180013400	137	373	177	272	568	518	562	613	124	179
LdBPK_180013500	126	343	188	261	540	467	475	646	167	244
LdBPK_180013600	313	1082	510	743	2096	1691	2012	2077	542	716
LdBPK_180013900	24	59	24	58	104	83	132	116	19	26
LdBPK_180014000	13	27	13	24	48	33	47	40	11	12
LdBPK_180014100	73	233	120	160	312	251	234	254	156	183
LdBPK_180014200	111	414	233	414	672	601	829	789	168	214
LdBPK_180014300	43	160	72	148	224	188	246	249	59	86
LdBPK_180014400	3	17	4	14	36	14	18	30	22	27
LdBPK_180014500	6	26	8	18	47	29	25	32	13	10
LdBPK_180014600	28	74	30	37	107	99	107	101	14	14
LdBPK_180014700	6	19	7	8	31	32	29	47	4	11
LdBPK_180014800	21	75	19	48	69	54	64	71	23	18
LdBPK_180014900	276	804	342	508	1283	1070	1317	1325	336	487
LdBPK_180015000	0	7	6	6	10	5	10	21	1	1
LdBPK_180015100	539	1935	844	1198	1779	1706	1947	2114	449	554
LdBPK_180015200	19	69	26	37	71	45	60	77	34	42
LdBPK_180015300	41	94	32	68	116	76	45	79	10	7
LdBPK_180015400	95	369	191	257	313	326	341	322	140	149
LdBPK_180015500	190	694	300	468	1067	1181	1054	1237	257	203
LdBPK_180015600	663	2226	972	1503	3719	3455	3896	4758	716	800
LdBPK_180015700	406	1356	565	824	1477	1127	1575	1735	409	532
LdBPK_180015800	151	417	233	303	825	826	838	840	301	367
LdBPK_180015900	116	374	166	225	627	512	516	694	85	105
LdBPK_180016000	10	31	9	15	42	24	39	48	12	14
LdBPK_180016100	193	655	321	513	1071	803	848	893	109	91
LdBPK_180016200	151	527	205	404	533	505	450	431	74	109
LdBPK_180016300	270	999	480	653	1571	1376	1282	1502	323	399
LdBPK_180016400	5	12	7	9	21	16	19	23	13	5
LdBPK_180016500	312	1118	540	839	2007	2139	2209	2450	398	443
LdBPK_180016600	784	2308	1145	1536	3302	2648	2862	3581	1016	1511
LdBPK_180016700	112	370	186	293	468	455	552	601	132	171
LdBPK_180016800	356	1068	523	747	1975	1185	1391	1773	489	615
LdBPK_180016900	158	557	257	396	640	582	693	635	123	148
LdBPK_180017000	300	829	420	515	1086	852	921	1037	196	232
LdBPK_180017100	42	113	47	96	169	120	149	148	36	48
LdBPK_180017200	81	289	126	215	475	437	400	501	189	175
LdBPK_180017300	28	107	66	86	167	214	201	188	30	43
LdBPK_180017400	134	382	214	315	429	246	251	268	81	105
LdBPK_180017500	0	0	0	0	0	0	0	0	0	0
LdBPK_180017600	0	0	0	0	0	0	0	0	0	0
LdBPK_180017700	68	211	120	176	324	309	400	453	89	120
LdBPK_180017800	262	944	522	673	2108	2826	3344	3044	405	429
LdBPK_180017900	105	252	126	146	562	503	643	624	255	343
LdBPK_180018000	241	839	365	450	1339	1273	1438	1535	425	617
LdBPK_180018100	6	12	6	9	33	17	24	37	0	0
LdBPK_180018200	5	24	10	12	5	4	4	2	2	1
LdBPK_180018300	671	2151	872	1315	2473	2802	2932	3415	594	746
LdBPK_180018400	159	409	214	332	590	542	602	637	85	117
LdBPK_180018500	217	654	311	494	1575	1520	1541	1851	379	474
LdBPK_180018600	783	3086	1675	2206	3735	4012	3990	4334	584	737
LdBPK_180018700	714	2641	1316	1804	4928	4834	4772	5214	668	904
LdBPK_180018800	198	934	436	591	1658	1892	1688	1780	264	358
LdBPK_180018900	1170	3960	1748	2610	2867	2494	2432	3112	879	971
LdBPK_180019000	141	479	151	295	314	257	247	297	71	84
LdBPK_180019100	36	102	47	80	175	102	93	86	33	38
LdBPK_180019200	3015	9082	3632	5727	9814	8300	8902	9450	2000	2196
LdBPK_180019300	345	1115	520	685	801	713	742	891	337	414
LdBPK_180019400	491	1435	661	1046	1621	1155	1364	1541	358	432
LdBPK_180019500	293	935	360	654	1306	1093	1190	1348	391	387
LdBPK_180019600	217	602	323	485	783	801	706	819	193	244
LdBPK_180019700	242	780	451	572	1516	1648	1776	2078	305	403
LdBPK_180019800	35	149	61	107	227	214	200	235	59	107
LdBPK_180019900	70	171	81	148	224	205	270	265	56	47
LdBPK_180020000	123	445	271	342	566	510	651	731	151	218
LdBPK_180020100	19	52	23	38	130	75	69	74	20	23
LdBPK_180020200	10	33	13	28	27	26	36	31	34	13
LdBPK_180020300	3166	10446	4931	6629	5365	4665	5230	5821	1523	1540
LdBPK_180020400	375	1185	546	851	5051	4109	5393	6403	1117	1344
LdBPK_180020500	51	174	71	144	245	187	219	249	108	136
LdBPK_180020600	185	477	227	349	562	434	539	590	271	274
LdBPK_180020700	10	25	12	20	50	27	44	44	9	11
LdBPK_180020800	3	9	1	7	20	14	20	15	0	2
LdBPK_180020900	23	80	31	54	157	91	130	119	63	95
LdBPK_180021000	91	251	100	183	464	266	346	386	87	83
LdBPK_180021100	324	1167	549	731	1405	1450	1634	1762	302	383
LdBPK_180021200	44	143	45	96	159	121	103	100	33	27
LdBPK_180021300	13	70	27	56	113	55	74	85	7	23
LdBPK_180021400	491	1899	867	1131	1816	1969	2184	2472	346	426
LdBPK_180021500	138	404	172	250	446	295	276	341	84	68
LdBPK_180021600	332	1171	563	778	1408	1528	1544	1773	281	439
LdBPK_180021700	2754	10503	4821	6609	7105	7128	8487	8902	657	827
LdBPK_180021800	76	290	122	205	337	243	272	289	117	191
LdBPK_180021900	241	793	470	618	1652	1603	1383	2002	287	339
LdBPK_180022000	33	76	26	51	144	120	165	177	37	38
LdBPK_180022100	54	155	49	120	284	217	231	263	62	63
LdBPK_190005000	0	0	0	0	0	0	0	0	0	0
LdBPK_190005100	0	0	0	0	0	0	0	0	1	0
LdBPK_190005200	0	0	0	0	0	0	0	0	0	0
LdBPK_190005300	0	0	0	1	1	0	0	0	0	0
LdBPK_190005400	0	0	0	0	0	0	0	0	0	0
LdBPK_190005500	0	0	0	0	0	0	0	0	0	0
LdBPK_190005600	3	11	2	7	16	10	22	21	1	1
LdBPK_190005700	103	357	172	235	719	635	551	670	219	224
LdBPK_190005800	35	88	69	77	115	119	161	176	33	26
LdBPK_190005900	0	0	0	0	0	0	0	0	0	0
LdBPK_190006000	0	0	0	0	0	0	0	0	0	0
LdBPK_190006100	0	0	0	0	0	0	0	0	3	3
LdBPK_190006200	2382	7178	3042	3543	6973	7689	7646	7279	29	42
LdBPK_190006300	23	61	28	48	108	76	77	91	24	30
LdBPK_190006400	578	2020	1074	1579	2240	2233	2312	2746	333	356
LdBPK_190006500	90	311	128	248	409	377	335	475	87	119
LdBPK_190006600	177	592	277	475	695	518	578	570	170	169
LdBPK_190006700	810	2870	1442	1905	4215	4144	4567	5119	953	1093
LdBPK_190006800	48	150	54	124	395	271	253	313	75	59
LdBPK_190006900	43	126	66	87	215	195	170	192	40	36
