gene	SL-LOG1	SL-LOG2	SL-LOG3	SL-LOG4	SL-STAT1	SL-STAT2	SL-STAT3	SL-STAT4	SL-BPK275-1	SL-BPK275-2
LdBPK_020006400	166	540	286	338	649	593	609	694	566	728
LdBPK_020006500	0	1	0	1	1	0	0	0	17	50
LdBPK_020006600	286	1073	537	743	1396	1147	1218	1274	473	642
LdBPK_020006700	9	16	7	12	22	23	41	31	2	2
LdBPK_020006800	0	0	0	0	0	0	0	0	0	0
LdBPK_020006900	4	10	7	8	24	21	12	30	38	32
LdBPK_020007000	8	17	6	13	116	101	144	143	67	92
LdBPK_020007100	0	0	0	1	0	0	1	1	0	0
LdBPK_020007200	3	9	4	8	13	17	14	13	0	5
LdBPK_020007300	51	145	70	106	288	243	304	358	70	73
LdBPK_020007400	193	664	301	386	855	815	959	1004	334	481
LdBPK_020007500	8	31	14	31	43	26	31	34	19	18
LdBPK_020007600	210	640	272	385	1377	1299	1288	1597	299	379
LdBPK_020007700	74	224	97	176	458	372	439	509	190	311
LdBPK_020007800	92	248	121	191	408	223	272	333	340	333
LdBPK_020007900	72	146	73	155	241	221	225	220	120	107
LdBPK_020008000	106	377	195	319	365	392	346	448	157	127
LdBPK_020008100	189	570	265	426	794	615	574	715	625	544
LdBPK_020008200	37	117	37	85	248	228	292	292	90	69
LdBPK_020008300	141	431	210	349	3063	2172	2488	3241	418	627
LdBPK_020008400	147	364	193	245	341	165	205	287	144	152
LdBPK_020008500	1	2	3	0	9	3	5	6	2	5
LdBPK_020008600	79	259	131	175	389	350	448	479	298	266
LdBPK_020008700	11	42	21	26	80	66	79	78	42	57
LdBPK_020008800	30	80	30	47	94	98	71	93	62	53
LdBPK_020008900	88	318	135	167	430	322	328	399	151	108
LdBPK_020009000	123	289	122	237	210	116	200	146	141	150
LdBPK_020009100	56	116	47	86	185	150	132	167	163	139
LdBPK_020009200	1	6	8	13	20	20	30	23	170	184
LdBPK_020009300	6	39	14	23	33	23	34	37	54	35
LdBPK_020009400	90	265	120	183	478	424	553	512	205	238
LdBPK_020009500	211	579	324	463	960	905	889	1162	602	703
LdBPK_020009600	42	147	84	116	264	237	219	227	91	116
LdBPK_020009700	26	62	25	54	90	78	77	85	77	125
LdBPK_020009900	24	45	25	52	46	26	39	32	29	33
LdBPK_020010000	536	1923	763	1334	1652	1428	1348	1702	1850	1933
LdBPK_020010100	1633	5216	2704	3166	2777	1864	2071	2833	1225	1214
LdBPK_020010200	166	451	311	375	1009	939	1044	1158	766	888
LdBPK_020010300	69	224	84	130	243	240	269	222	152	160
LdBPK_020010400	42	104	55	98	213	138	170	224	67	86
LdBPK_020010500	114	393	216	264	551	506	550	636	550	602
LdBPK_020010600	98	296	121	169	612	769	730	770	581	720
LdBPK_020010900	78	224	131	135	464	421	381	545	126	108
LdBPK_020011000	300	922	477	621	2082	2014	2212	2700	782	988
LdBPK_020011100	2012	7284	3063	4592	4830	4437	4842	5378	655	796
LdBPK_020011200	204	616	249	429	729	674	718	787	505	574
LdBPK_020011300	5	13	10	14	37	26	26	27	30	18
LdBPK_020011400	115	386	153	196	250	129	189	211	14	13
LdBPK_020011500	92	192	91	126	218	135	182	228	148	157
LdBPK_020011600	8	20	6	13	23	7	24	9	64	91
LdBPK_020011700	11	19	4	14	31	19	18	29	52	54
LdBPK_020011800	45	140	62	111	95	71	86	76	73	51
LdBPK_020011900	76	203	82	161	287	250	223	310	174	196
LdBPK_020012000	32	76	42	71	112	76	79	107	124	99
LdBPK_020012100	8	36	18	21	57	49	50	49	73	64
LdBPK_020012200	60	149	67	113	198	136	121	132	93	80
LdBPK_020012300	60	150	78	153	275	226	208	242	216	167
LdBPK_020012400	70	218	101	163	221	169	174	203	193	208
LdBPK_020012500	93	318	150	179	352	328	351	435	198	198
LdBPK_020012600	20	43	21	33	64	47	88	69	15	17
LdBPK_020012700	20	66	20	46	93	46	35	66	90	77
LdBPK_020013000	19	26	16	36	58	71	57	58	63	38
LdBPK_020013100	529	1685	728	1127	571	512	547	621	634	704
LdBPK_020013200	83	270	142	191	650	674	887	767	219	305
LdBPK_030005000	18	60	23	45	83	73	84	102	20	11
LdBPK_030005100	2	7	8	6	17	16	25	20	10	7
LdBPK_030005200	29	83	29	61	104	64	74	79	11	12
LdBPK_030005300	74	240	120	191	202	120	115	175	51	50
LdBPK_030005400	57	169	61	112	185	156	161	182	37	54
LdBPK_030005500	23	50	20	31	63	45	53	79	34	31
LdBPK_030005600	107	303	151	239	559	388	420	511	145	201
LdBPK_030005700	87	340	121	155	276	222	239	285	91	132
LdBPK_030005800	43	95	42	61	193	133	167	185	28	35
LdBPK_030005900	65	133	81	124	203	198	222	231	93	71
LdBPK_030006000	34	93	31	84	111	77	100	90	45	27
LdBPK_030006100	213	770	331	445	590	547	579	657	174	276
LdBPK_030006200	45	124	38	77	163	98	71	85	40	32
LdBPK_030006300	81	230	80	152	250	162	195	254	90	78
LdBPK_030006400	17	38	20	25	56	26	34	40	22	40
LdBPK_030006500	22	49	26	41	86	60	60	85	29	18
LdBPK_030006600	11	27	12	21	44	22	33	44	15	8
LdBPK_030006700	53	167	59	141	146	93	105	140	45	34
LdBPK_030006800	721	2705	1301	1739	895	639	707	784	256	229
LdBPK_030006900	165	513	220	428	632	509	467	539	190	141
LdBPK_030007000	205	637	311	422	698	554	546	691	196	186
LdBPK_030007100	386	1181	493	742	754	620	654	718	614	703
LdBPK_030007200	104	359	180	287	463	541	617	530	253	270
LdBPK_030007300	1726	4162	1503	3475	4003	2773	3052	3112	207	175
LdBPK_030007400	54	175	71	116	198	187	200	194	82	120
LdBPK_030007500	101	358	180	335	462	310	381	398	294	331
LdBPK_030007600	30	87	46	58	163	120	143	175	63	80
LdBPK_030007700	195	544	241	474	796	691	588	707	210	219
LdBPK_030007800	162	511	285	415	1140	1118	1247	1452	320	407
LdBPK_030007900	108	271	124	206	366	252	270	326	66	68
LdBPK_030008000	24	48	31	34	103	80	88	122	31	17
LdBPK_030008100	29	102	47	48	140	101	102	130	71	72
LdBPK_030008200	37	116	44	97	183	125	131	126	74	100
LdBPK_030008300	398	1322	723	813	1801	1812	2024	2148	627	756
LdBPK_030008400	117	349	193	272	950	881	897	975	183	199
LdBPK_030008500	300	1063	513	699	2638	2394	2209	2511	832	987
LdBPK_030008600	359	1306	728	862	1839	1940	2040	2154	1006	1112
LdBPK_030008700	0	7	1	5	6	6	7	3	78	87
LdBPK_030008800	146	480	220	364	505	387	339	459	151	154
LdBPK_030008900	140	505	214	323	507	448	481	485	127	150
LdBPK_030009000	681	1841	733	1192	1151	1019	1480	1189	552	516
LdBPK_030009100	374	1016	317	656	1412	816	809	892	50	50
LdBPK_030009200	95	297	121	181	403	450	444	509	184	210
LdBPK_030009300	243	960	458	550	877	908	862	973	171	246
LdBPK_030009400	181	465	226	310	651	701	695	908	430	515
LdBPK_030009500	82	233	87	132	205	137	163	182	89	94
LdBPK_030009600	284	943	381	603	982	889	1000	1162	348	422
LdBPK_030009700	28	86	41	67	276	202	195	234	36	44
LdBPK_030009800	128	418	157	346	595	458	563	552	194	207
LdBPK_030009900	37	75	62	84	196	164	186	193	38	54
LdBPK_030010000	6	7	5	13	18	9	9	10	1	2
LdBPK_030010100	25	73	38	60	165	144	137	138	26	33
LdBPK_030010200	368	1259	598	831	1239	875	1087	1293	316	371
LdBPK_030010300	68	204	57	186	379	283	353	446	81	117
LdBPK_030010400	120	449	224	295	854	807	1001	1057	290	371
LdBPK_030010500	44	150	50	96	140	121	103	125	23	22
LdBPK_030010600	40	93	46	62	103	66	75	107	25	21
LdBPK_030010700	58	156	83	117	260	180	164	202	102	83
LdBPK_030010800	37	139	48	91	148	90	91	89	41	28
LdBPK_030010900	211	614	293	424	546	528	560	649	195	241
LdBPK_030011000	65	196	83	187	240	264	200	233	118	71
LdBPK_030011100	73	240	111	165	343	274	301	353	124	145
LdBPK_030011200	72	207	130	170	234	174	222	258	92	97
LdBPK_030011300	185	493	184	335	531	376	585	622	251	391
LdBPK_030011400	386	1417	692	885	1409	1248	1297	1663	218	453
LdBPK_030011500	8	20	10	29	57	49	34	33	9	9
LdBPK_030011600	32	76	33	39	95	100	130	128	77	82
LdBPK_030011800	101	286	115	216	270	183	218	273	121	160
LdBPK_030011900	197	588	270	339	791	651	640	903	273	376
LdBPK_030012000	16	60	13	32	30	36	38	28	31	48
LdBPK_030012100	16	63	23	46	111	54	83	100	15	15
LdBPK_030012200	57	227	101	163	270	238	210	251	103	98
LdBPK_030012300	47	169	99	139	149	107	128	127	60	59
LdBPK_030012400	33	58	30	55	45	46	33	36	21	20
LdBPK_030012500	122	384	169	218	568	452	444	526	150	178
LdBPK_030012600	61	174	76	108	198	168	179	168	75	85
LdBPK_030012700	265	792	325	560	1216	988	1203	1406	428	513
LdBPK_030012800	89	195	102	196	278	169	231	290	84	66
LdBPK_030012900	224	665	325	513	1330	1081	1283	1423	523	662
LdBPK_030013000	26	54	20	54	69	51	63	70	30	36
LdBPK_030013100	68	211	115	177	488	411	535	592	81	117
LdBPK_030013200	0	0	0	0	0	1	0	0	5	2
LdBPK_030013300	123	396	161	254	645	491	485	569	189	185
LdBPK_030013400	42	151	84	134	269	192	190	221	59	51
LdBPK_030013500	25	74	36	68	108	76	107	114	11	11
LdBPK_030013600	156	421	249	320	631	610	632	666	232	292
LdBPK_030013700	14	22	7	21	35	17	37	31	8	8
LdBPK_030013800	95	218	110	178	296	267	234	272	53	75
LdBPK_030013900	9	50	19	26	79	52	53	61	31	19
LdBPK_030014000	121	244	95	267	760	718	711	704	188	158
LdBPK_030014100	110	286	147	214	378	336	372	341	136	119
LdBPK_030014200	128	331	145	223	329	236	331	312	92	99
LdBPK_030014300	334	1068	456	815	1310	1297	1395	1579	446	519
LdBPK_030014400	49	175	80	105	248	273	267	320	109	156
LdBPK_030014500	55	189	63	143	229	179	183	212	100	75
LdBPK_030014600	37	68	33	50	89	99	73	102	77	87
LdBPK_030014700	162	344	91	277	326	175	154	218	68	47
LdBPK_030014800	22	72	22	51	73	34	44	54	14	19
LdBPK_030014900	38	105	52	76	107	82	83	113	21	21
LdBPK_040005000	28	65	30	47	72	44	67	66	9	16
LdBPK_040005100	30	88	51	107	130	67	71	79	45	15
LdBPK_040005200	220	744	304	494	965	813	897	1002	173	176
LdBPK_040005300	66	166	90	130	374	348	255	333	103	107
LdBPK_040005400	96	296	102	224	280	220	264	247	152	163
LdBPK_040005500	18	47	36	49	83	96	117	84	43	49
LdBPK_040005600	260	1043	534	996	871	761	1096	1007	336	419
LdBPK_040005700	93	268	114	228	362	257	357	318	78	104
LdBPK_040005800	25	85	21	53	117	127	156	145	64	57
LdBPK_040005900	16	40	10	21	33	29	41	24	9	12
LdBPK_040006000	289	856	384	582	1117	1075	1088	1309	427	595
LdBPK_040006100	119	374	178	274	308	310	274	343	159	155
LdBPK_040006200	65	154	69	145	258	205	214	233	76	88
LdBPK_040006300	52	146	57	112	268	255	279	276	42	26
LdBPK_040006400	383	1017	510	761	966	1020	1001	1172	345	357
LdBPK_040006500	39	181	74	127	210	225	209	240	50	39
LdBPK_040006600	2	2	1	1	3	4	2	2	15	6
LdBPK_040006700	0	3	1	2	2	5	1	5	0	0
LdBPK_040006800	145	439	245	326	425	302	241	368	26	37
LdBPK_040006900	0	2	0	0	0	0	0	0	0	0
LdBPK_040007000	311	954	516	800	3734	3855	3766	3964	365	504
LdBPK_040007100	91	297	199	263	1725	1182	1128	1310	80	72
LdBPK_040007200	766	2253	1284	1903	6173	5210	4455	5717	556	658
LdBPK_040007300	138	480	272	386	2167	1606	1531	1928	227	404
LdBPK_040007400	155	370	230	379	967	800	868	927	133	121
LdBPK_040007500	224	807	397	503	887	1008	891	1060	156	181
LdBPK_040007600	1100	3569	1471	2403	6086	5192	6209	7162	1541	1838
LdBPK_040007700	54	198	86	144	319	250	297	328	96	158
LdBPK_040007800	39	90	31	74	118	101	96	140	44	30
LdBPK_040007900	44	99	36	107	139	78	126	101	35	18
LdBPK_040008000	41	91	37	84	197	119	114	174	51	23
LdBPK_040008100	280	869	420	546	1229	1040	1103	1357	392	434
LdBPK_040008200	18	41	21	40	61	51	61	70	19	31
LdBPK_040008300	97	271	106	255	121	73	111	96	76	64
LdBPK_040008400	87	409	163	270	310	254	378	351	9	6
LdBPK_040008500	33	110	49	84	232	188	201	218	57	91
LdBPK_040008600	69	160	85	150	299	198	189	231	68	98
LdBPK_040008700	337	939	500	638	2114	1658	1781	2387	468	589
LdBPK_040008800	72	272	143	180	498	403	534	561	81	92
LdBPK_040008900	30	102	57	78	183	110	150	165	68	61
LdBPK_040009000	370	1097	574	894	1940	1905	1714	2088	539	633
LdBPK_040009100	15	37	14	40	29	31	48	38	11	37
LdBPK_040009200	200	543	232	289	795	684	775	824	182	237
LdBPK_040009300	973	3232	1555	2078	2859	2582	2610	3198	613	707
LdBPK_040009400	219	606	292	409	846	800	1052	993	189	238
LdBPK_040009500	223	771	337	544	1578	1438	1336	1624	243	286
LdBPK_040009600	233	820	368	631	849	585	799	841	336	443
LdBPK_040009700	311	1008	447	760	945	784	818	1035	244	262
LdBPK_040009800	42	115	38	71	216	208	207	254	102	121
LdBPK_040009900	1680	5199	2406	3923	5550	5560	6164	6247	429	428
LdBPK_040010000	386	1144	523	928	1712	1647	1704	1935	633	709
LdBPK_040010100	121	321	109	266	402	324	348	434	140	162
LdBPK_040010200	297	1009	575	719	1312	1212	1280	1515	365	443
LdBPK_040010300	102	360	183	299	744	577	688	803	106	108
LdBPK_040010400	220	783	362	603	1224	1011	1224	1298	452	539
LdBPK_040010500	51	163	94	138	289	215	201	245	135	136
LdBPK_040010600	28	85	47	56	119	102	90	138	52	61
LdBPK_040010700	77	232	97	164	362	281	348	359	21	17
LdBPK_040010800	137	441	186	237	616	513	455	604	216	237
LdBPK_040010900	106	260	141	233	448	441	610	564	123	174
LdBPK_040011000	85	326	141	225	207	181	190	229	69	77
LdBPK_040011100	187	496	221	435	584	527	486	535	138	118
LdBPK_040011200	195	614	268	394	1958	1549	1718	2201	307	460
LdBPK_040011300	4	13	6	13	24	20	33	23	6	4
LdBPK_040011400	137	395	199	296	550	453	554	576	205	220
LdBPK_040011500	33	91	27	45	62	72	71	74	17	9
LdBPK_040011600	10	59	19	34	90	84	127	102	21	10
